celebrity_name,season,avg_judge_score,predicted_fan_votes
Kelly Monaco,1,7.111111111111111,0.5
Joey McIntyre,1,7.033333333333333,0.4550542339234112
Evander Holyfield,1,5.0,0.3206542158433585
Kelly Monaco,1,7.111111111111111,0.4484408637990407
John O'Hurley,1,8.055555555555555,0.5
Master P,2,4.166666666666667,0.2468776199679224
Karamo Brown,28,6.840909090909091,0.3978894932909386
Emmitt Smith,3,8.588886666666667,0.5013661332680387
Master P,2,4.166666666666667,0.204936898972673
Mario Lopez,3,8.955553333333334,0.4986338667319612
